tail_to_length_ratio,body_to_length_ratio,wick_to_length_ratio,trade_decision
0.153,0.403,0.444,Sell
0.183,0.227,0.59,Sell
0.08,0.231,0.689,Sell
0.206,0.032,0.763,Sell
0.147,0.291,0.563,Sell
0.165,0.087,0.749,Sell
0.234,0.073,0.693,Sell
0.171,0.212,0.617,Sell
0.203,0.228,0.569,Sell
0.097,0.248,0.655,Sell
0.235,0.375,0.389,Sell
0.153,0.092,0.754,Sell
0.305,0.321,0.374,Sell
0.149,0.108,0.743,Sell
0.186,0.142,0.672,Sell
0.058,0.213,0.728,Sell
0.172,0.249,0.579,Sell
0.066,0.376,0.558,Sell
0.21,0.295,0.495,Sell
0.129,0.333,0.538,Sell
0.169,0.142,0.689,Sell
0.267,0.466,0.267,Sell
0.214,0.4,0.386,Sell
0.121,0.117,0.761,Sell
0.124,0.297,0.579,Sell
0.146,0.25,0.604,Sell
0.402,0.171,0.427,Sell
0.089,0.326,0.586,Sell
0.11,0.261,0.628,Sell
0.214,0.281,0.506,Sell
0.121,0.033,0.846,Sell
0.06,0.195,0.744,Sell
0.133,0.134,0.733,Sell
0.14,0.035,0.826,Sell
0.217,0.269,0.514,Sell
0.135,0.339,0.525,Sell
0.144,0.262,0.594,Sell
0.125,0.426,0.448,Sell
0.178,0.114,0.708,Sell
0.314,0.073,0.612,Sell
0.198,0.089,0.712,Sell
0.174,0.166,0.66,Sell
0.133,0.214,0.652,Sell
0.074,0.215,0.712,Sell
0.104,0.274,0.622,Sell
0.182,0.212,0.605,Sell
0.176,0.144,0.68,Sell
0.224,0.281,0.495,Sell
0.181,0.278,0.541,Sell
0.109,0.253,0.638,Sell
0.237,0.04,0.722,Sell
0.202,0.024,0.774,Sell
0.088,0.279,0.633,Sell
0.098,0.17,0.733,Sell
0.302,0.188,0.511,Sell
0.128,0.319,0.553,Sell
0.09,0.069,0.841,Sell
0.193,0.007,0.799,Sell
0.139,0.263,0.597,Sell
0.314,0.315,0.371,Sell
0.154,0.304,0.543,Sell
0.214,0.299,0.487,Sell
0.278,0.019,0.703,Sell
0.211,0.329,0.459,Sell
0.191,0.24,0.569,Sell
0.19,0.336,0.473,Sell
0.102,0.278,0.62,Sell
0.266,0.058,0.676,Sell
0.197,0.388,0.416,Sell
0.176,0.03,0.794,Sell
0.133,0.315,0.552,Sell
0.284,0.067,0.649,Sell
0.184,0.139,0.677,Sell
0.235,0.282,0.483,Sell
0.179,0.053,0.768,Sell
0.285,0.23,0.485,Sell
0.057,0.444,0.499,Sell
0.192,0.284,0.524,Sell
0.079,0.219,0.702,Sell
0.149,0.335,0.516,Sell
0.141,0.192,0.667,Sell
0.27,0.096,0.635,Sell
0.132,0.25,0.617,Sell
0.138,0.193,0.669,Sell
0.201,0.29,0.509,Sell
0.293,0.099,0.608,Sell
0.206,0.215,0.579,Sell
0.138,0.087,0.776,Sell
0.103,0.187,0.71,Sell
0.161,0.237,0.602,Sell
0.183,0.081,0.735,Sell
0.087,0.162,0.751,Sell
0.195,0.295,0.51,Sell
0.089,0.275,0.636,Sell
0.102,0.153,0.745,Sell
0.124,0.371,0.504,Sell
0.069,0.347,0.584,Sell
0.318,0.323,0.359,Sell
0.37,0.261,0.37,Sell
0.295,0.03,0.675,Sell
0.126,0.23,0.644,Sell
0.211,0.277,0.512,Sell
0.171,0.196,0.634,Sell
0.168,0.334,0.498,Sell
0.187,0.128,0.685,Sell
0.098,0.026,0.876,Sell
0.159,0.149,0.692,Sell
0.199,0.151,0.65,Sell
0.14,0.293,0.567,Sell
0.236,0.29,0.474,Sell
0.339,0.026,0.635,Sell
0.174,0.089,0.737,Sell
0.089,0.211,0.7,Sell
0.144,0.054,0.802,Sell
0.177,0.329,0.494,Sell
0.143,0.299,0.558,Sell
0.251,0.314,0.435,Sell
0.191,0.125,0.685,Sell
0.125,0.109,0.766,Sell
0.185,0.036,0.779,Sell
0.242,0.059,0.698,Sell
0.3,0.157,0.543,Sell
0.259,0.363,0.378,Sell
0.097,0.2,0.703,Sell
0.158,0.342,0.499,Sell
0.113,0.473,0.414,Sell
0.068,0.278,0.653,Sell
0.252,0.057,0.691,Sell
0.209,0.008,0.783,Sell
0.072,0.326,0.602,Sell
0.329,0.014,0.657,Sell
0.06,0.33,0.609,Sell
0.194,0.183,0.623,Sell
0.262,0.295,0.443,Sell
0.178,0.265,0.557,Sell
0.153,0.371,0.476,Sell
0.036,0.301,0.663,Sell
0.146,0.303,0.551,Sell
0.359,0.067,0.575,Sell
0.195,0.002,0.803,Sell
0.136,0.304,0.56,Sell
0.188,0.016,0.796,Sell
0.146,0.098,0.757,Sell
0.173,0.123,0.704,Sell
0.173,0.279,0.548,Sell
0.228,0.224,0.548,Sell
0.255,0.095,0.65,Sell
0.066,0.389,0.545,Sell
0.295,0.409,0.296,Sell
0.217,0.217,0.566,Sell
0.265,0.316,0.419,Sell
0.185,0.011,0.803,Sell
0.118,0.299,0.584,Sell
0.1,0.111,0.789,Sell
0.165,0.336,0.499,Sell
0.291,0.188,0.521,Sell
0.209,0.031,0.759,Sell
0.127,0.121,0.752,Sell
0.125,0.228,0.647,Sell
0.109,0.429,0.462,Sell
0.259,0.088,0.653,Sell
0.242,0.165,0.593,Sell
0.248,0.389,0.363,Sell
0.15,0.234,0.616,Sell
0.189,0.023,0.788,Sell
0.213,0.004,0.783,Sell
0.146,0.367,0.487,Sell
0.199,0.013,0.788,Sell
0.044,0.384,0.572,Sell
0.172,0.162,0.666,Sell
0.107,0.392,0.501,Sell
0.148,0.224,0.628,Sell
0.143,0.032,0.825,Sell
0.236,0.303,0.461,Sell
0.143,0.279,0.578,Sell
0.188,0.146,0.666,Sell
0.102,0.144,0.754,Sell
0.213,0.071,0.716,Sell
0.093,0.287,0.62,Sell
0.103,0.059,0.837,Sell
0.226,0.37,0.405,Sell
0.18,0.254,0.566,Sell
0.185,0.229,0.586,Sell
0.125,0.389,0.486,Sell
0.28,0.089,0.631,Sell
0.285,0.209,0.506,Sell
0.133,0.196,0.67,Sell
0.177,0.287,0.535,Sell
0.168,0.306,0.526,Sell
0.21,0.17,0.62,Sell
0.155,0.281,0.564,Sell
0.087,0.268,0.645,Sell
0.244,0.309,0.447,Sell
0.139,0.049,0.813,Sell
0.171,0.063,0.766,Sell
0.281,0.001,0.719,Sell
0.094,0.455,0.451,Sell
0.15,0.363,0.488,Sell
0.102,0.0,0.897,Sell
0.162,0.229,0.609,Sell
0.124,0.156,0.72,Sell
0.051,0.189,0.76,Sell
0.097,0.335,0.567,Sell
0.089,0.315,0.596,Sell
0.187,0.267,0.546,Sell
0.326,0.07,0.604,Sell
0.094,0.296,0.609,Sell
0.021,0.299,0.68,Sell
0.082,0.339,0.579,Sell
0.397,0.115,0.488,Sell
0.151,0.314,0.535,Sell
0.244,0.259,0.497,Sell
0.138,0.196,0.666,Sell
0.042,0.178,0.779,Sell
0.101,0.335,0.564,Sell
0.299,0.355,0.346,Sell
0.259,0.058,0.683,Sell
0.18,0.149,0.671,Sell
0.128,0.191,0.681,Sell
0.119,0.288,0.592,Sell
0.181,0.158,0.661,Sell
0.213,0.253,0.534,Sell
0.112,0.164,0.724,Sell
0.287,0.396,0.317,Sell
0.282,0.064,0.653,Sell
0.381,0.239,0.381,Sell
0.234,0.258,0.508,Sell
0.295,0.03,0.675,Sell
0.109,0.313,0.578,Sell
0.082,0.258,0.661,Sell
0.092,0.221,0.688,Sell
0.215,0.191,0.594,Sell
0.212,0.234,0.555,Sell
0.143,0.163,0.694,Sell
0.142,0.325,0.533,Sell
0.277,0.063,0.66,Sell
0.12,0.351,0.529,Sell
0.175,0.243,0.581,Sell
0.185,0.165,0.649,Sell
0.162,0.3,0.538,Sell
0.085,0.167,0.748,Sell
0.186,0.133,0.681,Sell
0.087,0.268,0.645,Sell
0.153,0.327,0.52,Sell
0.322,0.181,0.497,Sell
0.099,0.318,0.583,Sell
0.297,0.227,0.476,Sell
0.234,0.229,0.537,Sell
0.156,0.043,0.801,Sell
0.194,0.008,0.798,Sell
0.229,0.067,0.704,Sell
0.144,0.248,0.608,Sell
0.152,0.362,0.486,Sell
0.163,0.326,0.511,Sell
0.354,0.235,0.41,Sell
0.085,0.329,0.586,Sell
0.195,0.249,0.556,Sell
0.138,0.376,0.487,Sell
0.15,0.284,0.566,Sell
0.175,0.319,0.506,Sell
0.203,0.005,0.792,Sell
0.091,0.156,0.753,Sell
0.156,0.065,0.778,Sell
0.223,0.289,0.488,Sell
0.185,0.227,0.589,Sell
0.157,0.289,0.554,Sell
0.174,0.069,0.757,Sell
0.068,0.366,0.566,Sell
0.127,0.099,0.774,Sell
0.126,0.364,0.51,Sell
0.236,0.309,0.455,Sell
0.248,0.089,0.664,Sell
0.084,0.287,0.629,Sell
0.159,0.14,0.701,Sell
0.073,0.363,0.564,Sell
0.196,0.232,0.573,Sell
0.204,0.053,0.743,Sell
0.239,0.358,0.403,Sell
0.11,0.158,0.732,Sell
0.142,0.288,0.571,Sell
0.155,0.139,0.706,Sell
0.214,0.254,0.533,Sell
0.106,0.078,0.815,Sell
0.425,0.15,0.425,Sell
0.289,0.089,0.622,Sell
0.228,0.064,0.708,Sell
0.1,0.301,0.599,Sell
0.182,0.119,0.699,Sell
0.149,0.239,0.612,Sell
0.176,0.366,0.458,Sell
0.347,0.168,0.485,Sell
0.175,0.237,0.587,Sell
0.186,0.144,0.67,Sell
0.187,0.006,0.807,Sell
0.138,0.292,0.57,Sell
0.098,0.37,0.532,Sell
0.174,0.046,0.78,Sell
0.086,0.242,0.672,Sell
0.195,0.154,0.652,Sell
0.149,0.311,0.54,Sell
0.195,0.165,0.64,Sell
0.09,0.317,0.593,Sell
0.229,0.11,0.662,Sell
0.194,0.274,0.532,Sell
0.116,0.347,0.537,Sell
0.225,0.198,0.577,Sell
0.134,0.265,0.601,Sell
0.123,0.2,0.677,Sell
0.407,0.186,0.407,Sell
0.207,0.289,0.504,Sell
0.126,0.316,0.557,Sell
0.263,0.334,0.403,Sell
0.137,0.4,0.464,Sell
0.187,0.295,0.518,Sell
0.136,0.062,0.801,Sell
0.246,0.069,0.684,Sell
0.176,0.066,0.758,Sell
0.288,0.297,0.415,Sell
0.149,0.264,0.587,Sell
0.133,0.075,0.793,Sell
0.223,0.063,0.714,Sell
0.046,0.081,0.872,Sell
0.183,0.3,0.517,Sell
0.174,0.183,0.642,Sell
0.136,0.262,0.602,Sell
0.089,0.084,0.827,Sell
0.206,0.179,0.615,Sell
0.13,0.283,0.587,Sell
0.197,0.002,0.801,Sell
0.073,0.337,0.59,Sell
0.094,0.309,0.596,Sell
0.158,0.306,0.536,Sell
0.154,0.065,0.781,Sell
0.108,0.369,0.524,Sell
0.222,0.395,0.383,Sell
0.314,0.261,0.425,Sell
0.127,0.097,0.775,Sell
0.291,0.139,0.57,Sell
0.18,0.326,0.495,Sell
0.151,0.42,0.429,Sell
0.1,0.29,0.61,Sell
0.126,0.16,0.714,Sell
0.134,0.414,0.452,Sell
0.175,0.063,0.762,Sell
0.064,0.395,0.541,Sell
0.229,0.016,0.756,Sell
0.211,0.137,0.653,Sell
0.282,0.035,0.682,Sell
0.286,0.104,0.61,Sell
0.154,0.332,0.514,Sell
0.123,0.06,0.817,Sell
0.156,0.269,0.574,Sell
0.157,0.109,0.734,Sell
0.257,0.311,0.433,Sell
0.115,0.066,0.818,Sell
0.129,0.384,0.487,Sell
0.399,0.006,0.595,Sell
0.269,0.425,0.306,Sell
0.129,0.072,0.799,Sell
0.257,0.182,0.561,Sell
0.115,0.357,0.528,Sell
0.102,0.185,0.714,Sell
0.24,0.404,0.355,Sell
0.022,0.296,0.682,Sell
0.101,0.381,0.519,Sell
0.142,0.146,0.713,Sell
0.205,0.449,0.346,Sell
0.166,0.085,0.749,Sell
0.156,0.309,0.535,Sell
0.187,0.047,0.766,Sell
0.322,0.167,0.511,Sell
0.285,0.074,0.641,Sell
0.153,0.246,0.6,Sell
0.105,0.325,0.57,Sell
0.146,0.062,0.792,Sell
0.185,0.243,0.572,Sell
0.1,0.325,0.575,Sell
0.21,0.348,0.441,Sell
0.161,0.004,0.836,Sell
0.282,0.211,0.507,Sell
0.176,0.233,0.591,Sell
0.146,0.002,0.852,Sell
0.127,0.061,0.812,Sell
0.158,0.074,0.768,Sell
0.233,0.105,0.661,Sell
0.085,0.285,0.63,Sell
0.168,0.205,0.627,Sell
0.2,0.316,0.484,Sell
0.166,0.272,0.562,Sell
0.081,0.306,0.613,Sell
0.145,0.139,0.716,Sell
0.098,0.41,0.492,Sell
0.236,0.097,0.667,Sell
0.209,0.161,0.63,Sell
0.094,0.268,0.638,Sell
0.209,0.252,0.539,Sell
0.096,0.325,0.579,Sell
0.083,0.336,0.581,Sell
0.168,0.22,0.612,Sell
0.124,0.144,0.732,Sell
0.174,0.098,0.729,Sell
0.023,0.323,0.654,Sell
0.213,0.264,0.522,Sell
0.315,0.231,0.454,Sell
0.261,0.176,0.562,Sell
0.116,0.361,0.523,Sell
0.169,0.264,0.567,Sell
0.235,0.077,0.688,Sell
0.195,0.07,0.735,Sell
0.163,0.104,0.734,Sell
0.049,0.408,0.543,Sell
0.051,0.395,0.554,Sell
0.12,0.267,0.614,Sell
0.188,0.014,0.798,Sell
0.063,0.312,0.625,Sell
0.084,0.317,0.599,Sell
0.155,0.259,0.585,Sell
0.125,0.004,0.87,Sell
0.141,0.172,0.687,Sell
0.377,0.064,0.558,Sell
0.324,0.067,0.609,Sell
0.159,0.064,0.776,Sell
0.169,0.237,0.594,Sell
0.298,0.089,0.613,Sell
0.213,0.207,0.579,Sell
0.181,0.179,0.64,Sell
0.16,0.32,0.521,Sell
0.091,0.079,0.83,Sell
0.267,0.085,0.647,Sell
0.251,0.195,0.554,Sell
0.146,0.229,0.625,Sell
0.153,0.201,0.646,Sell
0.193,0.258,0.55,Sell
0.054,0.341,0.605,Sell
0.176,0.358,0.466,Sell
0.311,0.286,0.403,Sell
0.19,0.266,0.544,Sell
0.281,0.02,0.699,Sell
0.159,0.451,0.39,Sell
0.119,0.084,0.797,Sell
0.134,0.116,0.749,Sell
0.201,0.238,0.56,Sell
0.131,0.375,0.495,Sell
0.239,0.205,0.556,Sell
0.274,0.156,0.571,Sell
0.155,0.294,0.551,Sell
0.197,0.107,0.697,Sell
0.142,0.325,0.533,Sell
0.123,0.39,0.488,Sell
0.216,0.067,0.717,Sell
0.13,0.373,0.497,Sell
0.21,0.48,0.31,Sell
0.194,0.265,0.541,Sell
0.139,0.026,0.835,Sell
0.084,0.302,0.614,Sell
0.125,0.022,0.853,Sell
0.29,0.298,0.412,Sell
0.176,0.102,0.722,Sell
0.118,0.147,0.735,Sell
0.238,0.006,0.756,Sell
0.15,0.469,0.381,Sell
0.15,0.225,0.625,Sell
0.154,0.255,0.591,Sell
0.243,0.131,0.627,Sell
0.102,0.227,0.671,Sell
0.163,0.006,0.831,Sell
0.113,0.221,0.666,Sell
0.258,0.124,0.619,Sell
0.17,0.288,0.542,Sell
0.176,0.29,0.534,Sell
0.152,0.141,0.707,Sell
0.254,0.156,0.59,Sell
0.113,0.023,0.863,Sell
0.184,0.374,0.442,Sell
0.254,0.025,0.721,Sell
0.132,0.258,0.61,Sell
0.096,0.406,0.498,Sell
0.362,0.073,0.565,Sell
0.122,0.028,0.85,Sell
0.251,0.022,0.727,Sell
0.33,0.129,0.541,Sell
0.151,0.161,0.687,Sell
0.179,0.002,0.819,Sell
0.03,0.212,0.757,Sell
0.087,0.001,0.912,Sell
0.11,0.046,0.844,Sell
0.11,0.225,0.665,Sell
0.217,0.04,0.742,Sell
0.154,0.386,0.46,Sell
0.068,0.317,0.614,Sell
0.141,0.007,0.852,Sell
0.122,0.069,0.809,Sell
0.136,0.485,0.378,Sell
0.071,0.234,0.695,Sell
0.335,0.33,0.335,Sell
0.221,0.028,0.751,Sell
0.31,0.121,0.569,Sell
0.084,0.275,0.641,Sell
0.131,0.315,0.555,Sell
0.213,0.195,0.592,Sell
0.161,0.265,0.573,Sell
0.152,0.036,0.812,Sell
0.147,0.034,0.819,Sell
0.247,0.132,0.621,Sell
0.221,0.04,0.739,Sell
0.337,0.14,0.523,Sell
0.135,0.242,0.624,Sell
0.141,0.257,0.602,Sell
0.271,0.425,0.304,Sell
0.25,0.224,0.526,Sell
0.128,0.008,0.864,Sell
0.116,0.202,0.682,Sell
0.09,0.231,0.679,Sell
0.17,0.159,0.671,Sell
0.075,0.208,0.717,Sell
0.148,0.19,0.662,Sell
0.113,0.382,0.505,Sell
0.102,0.277,0.621,Sell
0.255,0.239,0.506,Sell
0.073,0.375,0.552,Sell
0.119,0.142,0.739,Sell
0.16,0.449,0.391,Sell
