tail_to_length_ratio,body_to_length_ratio,wick_to_length_ratio,trade_decision
0.519,0.319,0.162,Buy
0.522,0.354,0.124,Buy
0.583,0.331,0.086,Buy
0.504,0.253,0.243,Buy
0.554,0.263,0.182,Buy
0.859,0.056,0.086,Buy
0.862,0.071,0.067,Buy
0.846,0.079,0.076,Buy
0.666,0.2,0.134,Buy
0.611,0.012,0.377,Buy
0.795,0.013,0.192,Buy
0.709,0.058,0.234,Buy
0.438,0.267,0.295,Buy
0.438,0.239,0.324,Buy
0.696,0.076,0.228,Buy
0.768,0.121,0.111,Buy
0.698,0.102,0.199,Buy
0.595,0.358,0.047,Buy
0.543,0.245,0.212,Buy
0.551,0.267,0.182,Buy
0.633,0.206,0.161,Buy
0.693,0.185,0.122,Buy
0.576,0.212,0.212,Buy
0.53,0.023,0.447,Buy
0.576,0.317,0.106,Buy
0.839,0.083,0.078,Buy
0.726,0.13,0.144,Buy
0.724,0.117,0.159,Buy
0.726,0.031,0.244,Buy
0.53,0.207,0.263,Buy
0.762,0.002,0.236,Buy
0.36,0.336,0.304,Buy
0.507,0.211,0.281,Buy
0.548,0.32,0.132,Buy
0.681,0.174,0.145,Buy
0.524,0.181,0.295,Buy
0.616,0.267,0.117,Buy
0.673,0.258,0.07,Buy
0.798,0.03,0.173,Buy
0.452,0.314,0.234,Buy
0.433,0.238,0.329,Buy
0.441,0.338,0.221,Buy
0.431,0.351,0.218,Buy
0.771,0.093,0.136,Buy
0.475,0.378,0.146,Buy
0.667,0.135,0.197,Buy
0.65,0.165,0.185,Buy
0.619,0.189,0.192,Buy
0.496,0.15,0.354,Buy
0.672,0.225,0.103,Buy
0.548,0.285,0.166,Buy
0.562,0.219,0.219,Buy
0.434,0.417,0.149,Buy
0.742,0.191,0.067,Buy
0.503,0.426,0.07,Buy
0.753,0.128,0.119,Buy
0.687,0.138,0.175,Buy
0.471,0.342,0.187,Buy
0.79,0.06,0.15,Buy
0.638,0.098,0.263,Buy
0.842,0.0,0.158,Buy
0.427,0.441,0.132,Buy
0.496,0.292,0.213,Buy
0.836,0.088,0.077,Buy
0.601,0.216,0.182,Buy
0.621,0.24,0.139,Buy
0.727,0.099,0.175,Buy
0.475,0.329,0.196,Buy
0.641,0.262,0.097,Buy
0.586,0.194,0.22,Buy
0.716,0.227,0.057,Buy
0.621,0.293,0.086,Buy
0.739,0.0,0.26,Buy
0.743,0.083,0.174,Buy
0.542,0.367,0.09,Buy
0.77,0.011,0.219,Buy
0.463,0.239,0.299,Buy
0.483,0.329,0.188,Buy
0.457,0.269,0.274,Buy
0.74,0.016,0.244,Buy
0.616,0.272,0.112,Buy
0.569,0.304,0.127,Buy
0.567,0.312,0.12,Buy
0.445,0.251,0.304,Buy
0.458,0.19,0.353,Buy
0.617,0.227,0.157,Buy
0.647,0.034,0.32,Buy
0.536,0.332,0.133,Buy
0.576,0.124,0.301,Buy
0.467,0.422,0.11,Buy
0.801,0.115,0.084,Buy
0.613,0.266,0.12,Buy
0.611,0.189,0.199,Buy
0.547,0.372,0.081,Buy
0.62,0.257,0.123,Buy
0.655,0.29,0.055,Buy
0.677,0.236,0.087,Buy
0.608,0.17,0.222,Buy
0.725,0.012,0.262,Buy
0.616,0.244,0.14,Buy
0.527,0.287,0.186,Buy
0.585,0.288,0.127,Buy
0.552,0.343,0.105,Buy
0.534,0.373,0.093,Buy
0.611,0.192,0.197,Buy
0.451,0.256,0.294,Buy
0.298,0.404,0.298,Buy
0.774,0.158,0.069,Buy
0.349,0.38,0.27,Buy
0.578,0.284,0.137,Buy
0.773,0.047,0.18,Buy
0.77,0.021,0.209,Buy
0.555,0.226,0.219,Buy
0.64,0.072,0.288,Buy
0.569,0.292,0.139,Buy
0.372,0.257,0.372,Buy
0.852,0.023,0.125,Buy
0.555,0.352,0.093,Buy
0.542,0.257,0.201,Buy
0.74,0.185,0.075,Buy
0.5,0.297,0.203,Buy
0.698,0.088,0.213,Buy
0.669,0.13,0.201,Buy
0.545,0.247,0.208,Buy
0.476,0.289,0.235,Buy
0.561,0.246,0.193,Buy
0.538,0.283,0.179,Buy
0.524,0.358,0.118,Buy
0.592,0.347,0.061,Buy
0.502,0.32,0.179,Buy
0.671,0.261,0.068,Buy
0.486,0.385,0.128,Buy
0.467,0.369,0.164,Buy
0.445,0.394,0.161,Buy
0.689,0.035,0.275,Buy
0.811,0.07,0.12,Buy
0.311,0.379,0.311,Buy
0.679,0.22,0.101,Buy
0.671,0.171,0.159,Buy
0.559,0.347,0.094,Buy
0.546,0.135,0.319,Buy
0.528,0.038,0.434,Buy
0.651,0.071,0.278,Buy
0.765,0.149,0.086,Buy
0.452,0.28,0.267,Buy
0.531,0.383,0.085,Buy
0.701,0.181,0.119,Buy
0.628,0.151,0.221,Buy
0.828,0.029,0.143,Buy
0.562,0.234,0.203,Buy
0.572,0.167,0.261,Buy
0.604,0.293,0.102,Buy
0.786,0.068,0.146,Buy
0.492,0.414,0.094,Buy
0.612,0.248,0.14,Buy
0.606,0.274,0.12,Buy
0.772,0.07,0.158,Buy
0.298,0.405,0.298,Buy
0.733,0.149,0.119,Buy
0.46,0.227,0.314,Buy
0.642,0.233,0.125,Buy
0.696,0.005,0.299,Buy
0.467,0.417,0.115,Buy
0.723,0.118,0.159,Buy
0.63,0.27,0.1,Buy
0.523,0.283,0.194,Buy
0.708,0.119,0.173,Buy
0.696,0.166,0.138,Buy
0.655,0.203,0.141,Buy
0.664,0.23,0.106,Buy
0.521,0.241,0.237,Buy
0.559,0.271,0.17,Buy
0.665,0.21,0.125,Buy
0.584,0.025,0.391,Buy
0.627,0.198,0.175,Buy
0.471,0.345,0.185,Buy
0.497,0.332,0.171,Buy
0.554,0.368,0.079,Buy
0.816,0.058,0.126,Buy
0.4,0.429,0.171,Buy
0.693,0.177,0.13,Buy
0.688,0.214,0.098,Buy
0.445,0.363,0.192,Buy
0.796,0.054,0.151,Buy
0.806,0.091,0.103,Buy
0.638,0.128,0.234,Buy
0.83,0.044,0.126,Buy
0.842,0.026,0.133,Buy
0.58,0.297,0.123,Buy
0.388,0.405,0.208,Buy
0.381,0.413,0.207,Buy
0.514,0.226,0.26,Buy
0.611,0.308,0.081,Buy
0.596,0.336,0.068,Buy
0.791,0.146,0.063,Buy
0.752,0.037,0.211,Buy
0.614,0.18,0.205,Buy
0.656,0.266,0.078,Buy
0.714,0.13,0.156,Buy
0.691,0.181,0.127,Buy
0.543,0.269,0.188,Buy
0.508,0.268,0.224,Buy
0.602,0.298,0.1,Buy
0.615,0.158,0.227,Buy
0.341,0.372,0.287,Buy
0.589,0.333,0.078,Buy
0.592,0.228,0.18,Buy
0.851,0.107,0.042,Buy
0.723,0.057,0.22,Buy
0.543,0.234,0.224,Buy
0.551,0.352,0.097,Buy
0.824,0.011,0.164,Buy
0.739,0.086,0.175,Buy
0.908,0.027,0.066,Buy
0.715,0.244,0.042,Buy
0.655,0.166,0.179,Buy
0.486,0.363,0.151,Buy
0.617,0.314,0.07,Buy
0.824,0.081,0.095,Buy
0.642,0.299,0.059,Buy
0.517,0.283,0.2,Buy
0.534,0.327,0.139,Buy
0.862,0.076,0.062,Buy
0.601,0.181,0.218,Buy
0.602,0.318,0.08,Buy
0.631,0.157,0.212,Buy
0.661,0.261,0.077,Buy
0.549,0.266,0.185,Buy
0.498,0.005,0.498,Buy
0.72,0.15,0.131,Buy
0.584,0.271,0.145,Buy
0.638,0.261,0.101,Buy
0.699,0.251,0.05,Buy
0.577,0.079,0.344,Buy
0.506,0.223,0.271,Buy
0.803,0.017,0.18,Buy
0.764,0.114,0.121,Buy
0.457,0.298,0.244,Buy
0.629,0.309,0.062,Buy
0.607,0.255,0.138,Buy
0.649,0.274,0.077,Buy
0.731,0.088,0.181,Buy
0.705,0.219,0.076,Buy
0.44,0.413,0.147,Buy
0.685,0.166,0.149,Buy
0.567,0.322,0.111,Buy
0.622,0.117,0.261,Buy
0.863,0.023,0.114,Buy
0.72,0.029,0.251,Buy
0.767,0.009,0.224,Buy
0.607,0.261,0.133,Buy
0.737,0.04,0.223,Buy
0.564,0.279,0.157,Buy
0.746,0.138,0.116,Buy
0.822,0.023,0.155,Buy
0.584,0.308,0.108,Buy
0.863,0.02,0.117,Buy
0.738,0.227,0.035,Buy
0.602,0.117,0.281,Buy
0.679,0.059,0.262,Buy
0.749,0.042,0.209,Buy
0.419,0.393,0.188,Buy
0.81,0.03,0.16,Buy
0.785,0.062,0.154,Buy
0.694,0.188,0.118,Buy
0.556,0.243,0.201,Buy
0.697,0.244,0.059,Buy
0.707,0.016,0.277,Buy
0.811,0.021,0.167,Buy
0.522,0.2,0.278,Buy
0.726,0.175,0.099,Buy
0.881,0.053,0.067,Buy
0.654,0.134,0.211,Buy
0.574,0.264,0.162,Buy
0.569,0.298,0.134,Buy
0.784,0.019,0.197,Buy
0.7,0.079,0.221,Buy
0.719,0.097,0.184,Buy
0.752,0.059,0.189,Buy
0.661,0.073,0.266,Buy
0.509,0.379,0.112,Buy
0.569,0.229,0.202,Buy
0.501,0.282,0.217,Buy
0.621,0.167,0.211,Buy
0.797,0.05,0.153,Buy
0.457,0.388,0.156,Buy
0.563,0.321,0.117,Buy
0.63,0.173,0.198,Buy
0.578,0.227,0.195,Buy
0.44,0.443,0.116,Buy
0.575,0.259,0.165,Buy
0.597,0.249,0.153,Buy
0.683,0.21,0.107,Buy
0.606,0.25,0.145,Buy
0.597,0.249,0.153,Buy
0.515,0.351,0.135,Buy
0.725,0.197,0.078,Buy
0.82,0.033,0.147,Buy
0.603,0.277,0.12,Buy
0.516,0.279,0.205,Buy
0.525,0.108,0.366,Buy
0.596,0.2,0.203,Buy
0.566,0.163,0.271,Buy
0.551,0.276,0.173,Buy
0.69,0.102,0.207,Buy
0.513,0.401,0.086,Buy
0.546,0.283,0.172,Buy
0.591,0.24,0.169,Buy
0.768,0.023,0.208,Buy
0.699,0.087,0.213,Buy
0.809,0.112,0.079,Buy
0.582,0.252,0.166,Buy
0.824,0.034,0.142,Buy
0.6,0.201,0.199,Buy
0.784,0.018,0.198,Buy
0.608,0.215,0.177,Buy
0.706,0.073,0.221,Buy
0.563,0.313,0.124,Buy
0.703,0.202,0.095,Buy
0.819,0.096,0.084,Buy
0.642,0.249,0.109,Buy
0.64,0.216,0.143,Buy
0.791,0.024,0.185,Buy
0.558,0.352,0.09,Buy
0.44,0.33,0.23,Buy
0.752,0.014,0.234,Buy
0.626,0.233,0.142,Buy
0.637,0.268,0.095,Buy
0.64,0.233,0.127,Buy
0.521,0.2,0.279,Buy
0.802,0.031,0.167,Buy
0.522,0.257,0.221,Buy
0.619,0.279,0.102,Buy
0.756,0.102,0.142,Buy
0.738,0.071,0.191,Buy
0.949,0.006,0.045,Buy
0.518,0.275,0.207,Buy
0.735,0.122,0.143,Buy
0.423,0.418,0.159,Buy
0.833,0.01,0.157,Buy
0.56,0.283,0.157,Buy
0.59,0.262,0.148,Buy
0.528,0.261,0.211,Buy
0.633,0.216,0.151,Buy
0.573,0.278,0.149,Buy
0.77,0.007,0.223,Buy
0.75,0.086,0.164,Buy
0.611,0.217,0.172,Buy
0.669,0.167,0.163,Buy
0.851,0.023,0.126,Buy
0.672,0.113,0.215,Buy
0.686,0.076,0.238,Buy
0.569,0.271,0.16,Buy
0.771,0.039,0.189,Buy
0.876,0.007,0.117,Buy
0.451,0.397,0.152,Buy
0.551,0.25,0.198,Buy
0.802,0.075,0.124,Buy
0.51,0.041,0.448,Buy
0.721,0.097,0.182,Buy
0.752,0.112,0.135,Buy
0.704,0.124,0.172,Buy
0.749,0.206,0.045,Buy
0.583,0.298,0.118,Buy
0.342,0.316,0.342,Buy
0.67,0.197,0.133,Buy
0.736,0.158,0.106,Buy
0.698,0.125,0.176,Buy
0.655,0.175,0.17,Buy
0.534,0.278,0.188,Buy
0.424,0.431,0.146,Buy
0.514,0.326,0.159,Buy
0.546,0.352,0.102,Buy
0.781,0.093,0.126,Buy
0.476,0.33,0.194,Buy
0.66,0.142,0.198,Buy
0.425,0.333,0.242,Buy
0.543,0.266,0.191,Buy
0.562,0.363,0.075,Buy
0.599,0.262,0.139,Buy
0.7,0.135,0.166,Buy
0.623,0.168,0.209,Buy
0.458,0.314,0.228,Buy
0.511,0.084,0.405,Buy
0.692,0.127,0.181,Buy
0.697,0.074,0.23,Buy
0.621,0.319,0.06,Buy
0.357,0.322,0.321,Buy
0.495,0.341,0.164,Buy
0.708,0.008,0.284,Buy
0.344,0.451,0.205,Buy
0.502,0.324,0.174,Buy
0.772,0.065,0.163,Buy
0.633,0.221,0.146,Buy
0.391,0.368,0.241,Buy
0.595,0.205,0.199,Buy
0.765,0.031,0.205,Buy
0.6,0.287,0.113,Buy
0.465,0.285,0.25,Buy
0.521,0.374,0.105,Buy
0.715,0.123,0.161,Buy
0.691,0.181,0.128,Buy
0.661,0.168,0.171,Buy
0.652,0.064,0.284,Buy
0.774,0.103,0.122,Buy
0.644,0.227,0.13,Buy
0.539,0.267,0.193,Buy
0.746,0.113,0.141,Buy
0.493,0.334,0.173,Buy
0.591,0.341,0.068,Buy
0.552,0.182,0.266,Buy
0.594,0.285,0.121,Buy
0.573,0.158,0.269,Buy
0.588,0.231,0.181,Buy
0.705,0.21,0.086,Buy
0.574,0.345,0.08,Buy
0.706,0.105,0.189,Buy
0.601,0.19,0.209,Buy
0.294,0.411,0.295,Buy
0.647,0.317,0.036,Buy
0.527,0.225,0.248,Buy
0.703,0.017,0.28,Buy
0.521,0.331,0.148,Buy
0.606,0.142,0.252,Buy
0.561,0.266,0.172,Buy
0.65,0.19,0.16,Buy
0.579,0.242,0.18,Buy
0.789,0.072,0.139,Buy
0.668,0.207,0.125,Buy
0.84,0.037,0.122,Buy
0.614,0.242,0.144,Buy
0.663,0.222,0.115,Buy
0.397,0.213,0.39,Buy
0.624,0.057,0.319,Buy
0.765,0.037,0.199,Buy
0.696,0.173,0.131,Buy
0.818,0.069,0.113,Buy
0.608,0.286,0.106,Buy
0.598,0.123,0.279,Buy
0.481,0.318,0.201,Buy
0.494,0.29,0.216,Buy
0.577,0.251,0.172,Buy
0.613,0.16,0.227,Buy
0.626,0.309,0.064,Buy
0.712,0.16,0.128,Buy
0.53,0.221,0.249,Buy
0.54,0.087,0.373,Buy
0.475,0.264,0.261,Buy
0.638,0.254,0.108,Buy
0.824,0.065,0.111,Buy
0.821,0.007,0.172,Buy
0.479,0.325,0.196,Buy
0.612,0.361,0.027,Buy
0.539,0.277,0.184,Buy
0.506,0.293,0.2,Buy
0.452,0.372,0.176,Buy
0.687,0.176,0.137,Buy
0.652,0.166,0.182,Buy
0.763,0.064,0.173,Buy
0.587,0.163,0.25,Buy
0.539,0.358,0.103,Buy
0.653,0.028,0.319,Buy
0.797,0.003,0.2,Buy
0.782,0.085,0.133,Buy
0.618,0.229,0.154,Buy
0.592,0.238,0.17,Buy
0.576,0.262,0.163,Buy
0.522,0.371,0.107,Buy
0.54,0.215,0.244,Buy
0.409,0.363,0.229,Buy
0.573,0.204,0.223,Buy
0.626,0.081,0.293,Buy
0.545,0.298,0.157,Buy
0.711,0.106,0.183,Buy
0.682,0.204,0.114,Buy
0.595,0.218,0.186,Buy
0.739,0.123,0.138,Buy
0.669,0.231,0.1,Buy
0.362,0.456,0.181,Buy
0.572,0.302,0.126,Buy
0.683,0.151,0.165,Buy
0.579,0.224,0.197,Buy
0.383,0.41,0.208,Buy
0.684,0.172,0.144,Buy
0.656,0.239,0.105,Buy
0.787,0.001,0.213,Buy
0.691,0.2,0.109,Buy
0.764,0.076,0.16,Buy
0.587,0.352,0.062,Buy
0.779,0.076,0.145,Buy
0.603,0.284,0.112,Buy
0.417,0.409,0.174,Buy
0.54,0.284,0.176,Buy
0.661,0.11,0.229,Buy
0.732,0.164,0.104,Buy
0.667,0.286,0.047,Buy
0.662,0.112,0.227,Buy
0.49,0.28,0.23,Buy
0.691,0.109,0.199,Buy
0.411,0.385,0.203,Buy
0.572,0.271,0.157,Buy
0.385,0.383,0.232,Buy
0.841,0.026,0.133,Buy
0.756,0.125,0.119,Buy
0.364,0.271,0.365,Buy
0.595,0.359,0.046,Buy
0.648,0.159,0.193,Buy
0.69,0.172,0.138,Buy
0.843,0.04,0.117,Buy
0.676,0.203,0.121,Buy
0.518,0.187,0.295,Buy
0.522,0.303,0.176,Buy
0.566,0.197,0.238,Buy
0.73,0.095,0.175,Buy
0.78,0.11,0.111,Buy
0.709,0.063,0.228,Buy
0.613,0.117,0.27,Buy
0.84,0.052,0.108,Buy
0.479,0.372,0.149,Buy
0.418,0.459,0.123,Buy
0.684,0.12,0.196,Buy
0.436,0.299,0.265,Buy
0.761,0.039,0.2,Buy
0.837,0.013,0.149,Buy
0.43,0.395,0.175,Buy
0.631,0.053,0.316,Buy
0.781,0.022,0.197,Buy
0.52,0.307,0.173,Buy
0.749,0.06,0.192,Buy
0.921,0.007,0.072,Buy
0.763,0.035,0.202,Buy
0.547,0.299,0.154,Buy
0.596,0.279,0.125,Buy
0.675,0.071,0.253,Buy
0.474,0.14,0.387,Buy
0.778,0.1,0.122,Buy
0.586,0.291,0.123,Buy
0.649,0.271,0.08,Buy
0.662,0.129,0.209,Buy
0.696,0.084,0.22,Buy
0.591,0.305,0.105,Buy
0.59,0.305,0.106,Buy
0.507,0.342,0.151,Buy
0.677,0.103,0.219,Buy
0.768,0.132,0.1,Buy
0.543,0.323,0.134,Buy
0.427,0.372,0.201,Buy
0.713,0.156,0.131,Buy
0.468,0.417,0.115,Buy
0.86,0.086,0.054,Buy
0.579,0.13,0.291,Buy
0.658,0.218,0.124,Buy
0.845,0.048,0.107,Buy
0.642,0.105,0.253,Buy
0.754,0.12,0.126,Buy
0.364,0.465,0.171,Buy
0.596,0.26,0.145,Buy
0.587,0.216,0.197,Buy
0.713,0.119,0.169,Buy
0.594,0.259,0.148,Buy
0.499,0.362,0.139,Buy
0.492,0.259,0.25,Buy
0.874,0.032,0.095,Buy
0.836,0.065,0.099,Buy
0.482,0.235,0.283,Buy
0.701,0.154,0.145,Buy
0.484,0.385,0.131,Buy
0.607,0.356,0.037,Buy
0.555,0.233,0.212,Buy
0.689,0.152,0.159,Buy
0.688,0.101,0.211,Buy
0.866,0.091,0.043,Buy
0.629,0.08,0.292,Buy
0.668,0.093,0.239,Buy
0.691,0.103,0.207,Buy
0.549,0.257,0.194,Buy
0.815,0.043,0.142,Buy
0.592,0.208,0.2,Buy
0.499,0.297,0.203,Buy
0.657,0.112,0.23,Buy
0.583,0.171,0.246,Buy
0.772,0.107,0.121,Buy
0.562,0.251,0.186,Buy
0.375,0.38,0.245,Buy
0.81,0.012,0.178,Buy
0.689,0.158,0.153,Buy
0.486,0.209,0.305,Buy
0.584,0.237,0.18,Buy
0.684,0.246,0.07,Buy
0.72,0.175,0.105,Buy
0.68,0.078,0.242,Buy
0.551,0.333,0.117,Buy
0.78,0.055,0.165,Buy
0.464,0.307,0.229,Buy
0.538,0.312,0.15,Buy
0.666,0.222,0.112,Buy
0.388,0.382,0.23,Buy
0.875,0.015,0.11,Buy
0.634,0.131,0.235,Buy
0.581,0.216,0.203,Buy
0.497,0.293,0.21,Buy
0.52,0.352,0.128,Buy
0.742,0.105,0.153,Buy
0.798,0.095,0.107,Buy
0.607,0.215,0.178,Buy
0.61,0.262,0.128,Buy
0.696,0.192,0.112,Buy
0.51,0.346,0.144,Buy
0.763,0.098,0.139,Buy
0.766,0.022,0.212,Buy
0.49,0.427,0.083,Buy
0.64,0.071,0.29,Buy
0.755,0.135,0.109,Buy
0.679,0.018,0.304,Buy
0.809,0.028,0.163,Buy
0.463,0.293,0.244,Buy
0.68,0.004,0.316,Buy
0.814,0.01,0.176,Buy
0.578,0.319,0.104,Buy
0.525,0.396,0.079,Buy
0.559,0.305,0.136,Buy
0.506,0.286,0.208,Buy
0.534,0.373,0.093,Buy
0.599,0.266,0.135,Buy
0.404,0.433,0.163,Buy
0.637,0.213,0.15,Buy
0.525,0.281,0.194,Buy
0.77,0.109,0.121,Buy
0.628,0.25,0.121,Buy
0.623,0.094,0.283,Buy
0.621,0.298,0.082,Buy
0.629,0.231,0.141,Buy
0.512,0.236,0.253,Buy
0.662,0.07,0.267,Buy
0.328,0.381,0.291,Buy
0.708,0.181,0.111,Buy
0.743,0.034,0.222,Buy
0.754,0.13,0.117,Buy
0.706,0.023,0.271,Buy
0.541,0.222,0.238,Buy
0.692,0.21,0.098,Buy
0.891,0.004,0.105,Buy
0.546,0.331,0.123,Buy
0.447,0.282,0.271,Buy
0.624,0.218,0.158,Buy
0.74,0.072,0.188,Buy
0.645,0.112,0.243,Buy
0.642,0.111,0.247,Buy
0.617,0.24,0.143,Buy
0.706,0.089,0.204,Buy
0.816,0.087,0.097,Buy
0.931,0.04,0.029,Buy
0.734,0.07,0.196,Buy
0.808,0.024,0.168,Buy
0.751,0.092,0.157,Buy
0.682,0.178,0.14,Buy
0.617,0.242,0.142,Buy
0.482,0.346,0.172,Buy
0.531,0.275,0.194,Buy
0.787,0.042,0.172,Buy
0.54,0.176,0.284,Buy
0.664,0.061,0.275,Buy
0.574,0.074,0.351,Buy
0.509,0.377,0.114,Buy
0.566,0.395,0.039,Buy
0.717,0.1,0.183,Buy
0.778,0.105,0.116,Buy
0.749,0.031,0.22,Buy
0.557,0.214,0.228,Buy
0.664,0.119,0.217,Buy
0.797,0.008,0.195,Buy
0.599,0.281,0.121,Buy
0.579,0.199,0.222,Buy
0.625,0.248,0.127,Buy
0.776,0.137,0.087,Buy
0.715,0.06,0.225,Buy
0.649,0.257,0.094,Buy
0.612,0.229,0.16,Buy
0.83,0.055,0.114,Buy
0.623,0.257,0.12,Buy
0.525,0.176,0.299,Buy
0.448,0.301,0.252,Buy
0.591,0.329,0.079,Buy
0.732,0.115,0.153,Buy
0.783,0.102,0.115,Buy
0.382,0.447,0.171,Buy
0.636,0.285,0.079,Buy
0.67,0.189,0.14,Buy
0.719,0.149,0.132,Buy
0.603,0.133,0.263,Buy
0.601,0.226,0.173,Buy
0.782,0.043,0.175,Buy
0.738,0.146,0.117,Buy
0.662,0.142,0.196,Buy
0.784,0.117,0.099,Buy
0.704,0.117,0.18,Buy
0.573,0.329,0.098,Buy
0.58,0.209,0.211,Buy
0.607,0.242,0.152,Buy
0.651,0.001,0.349,Buy
0.751,0.03,0.219,Buy
0.745,0.053,0.202,Buy
0.84,0.045,0.114,Buy
0.598,0.292,0.111,Buy
0.571,0.312,0.117,Buy
0.658,0.255,0.088,Buy
0.781,0.009,0.211,Buy
0.399,0.424,0.177,Buy
0.632,0.014,0.354,Buy
0.709,0.12,0.171,Buy
0.671,0.19,0.139,Buy
0.634,0.186,0.181,Buy
0.409,0.406,0.185,Buy
0.676,0.152,0.172,Buy
0.621,0.219,0.161,Buy
0.563,0.19,0.247,Buy
0.616,0.245,0.139,Buy
0.698,0.118,0.184,Buy
0.641,0.018,0.34,Buy
0.611,0.289,0.101,Buy
0.563,0.319,0.118,Buy
0.784,0.027,0.189,Buy
0.533,0.227,0.24,Buy
0.518,0.292,0.189,Buy
0.814,0.089,0.097,Buy
0.657,0.263,0.08,Buy
0.662,0.134,0.204,Buy
0.512,0.37,0.118,Buy
0.784,0.048,0.169,Buy
0.911,0.0,0.089,Buy
0.647,0.159,0.194,Buy
0.416,0.406,0.179,Buy
0.65,0.216,0.134,Buy
0.79,0.015,0.195,Buy
0.733,0.086,0.181,Buy
0.501,0.184,0.315,Buy
0.502,0.317,0.181,Buy
0.658,0.211,0.131,Buy
0.737,0.182,0.081,Buy
0.789,0.017,0.194,Buy
0.654,0.06,0.286,Buy
0.687,0.101,0.212,Buy
0.585,0.292,0.123,Buy
0.633,0.253,0.114,Buy
0.495,0.2,0.305,Buy
0.735,0.089,0.176,Buy
0.53,0.373,0.097,Buy
0.653,0.155,0.192,Buy
0.534,0.242,0.224,Buy
0.692,0.132,0.177,Buy
0.63,0.144,0.227,Buy
0.672,0.257,0.071,Buy
0.617,0.133,0.249,Buy
0.627,0.161,0.212,Buy
0.597,0.281,0.122,Buy
0.826,0.113,0.061,Buy
0.536,0.033,0.431,Buy
0.575,0.295,0.13,Buy
0.646,0.253,0.101,Buy
0.74,0.138,0.122,Buy
0.578,0.247,0.174,Buy
0.759,0.021,0.221,Buy
0.652,0.047,0.3,Buy
0.752,0.151,0.096,Buy
