tail_to_length_ratio,body_to_length_ratio,wick_to_length_ratio,trade_decision
0.352,0.359,0.289,No Trade
0.329,0.326,0.346,No Trade
0.393,0.356,0.251,No Trade
0.382,0.305,0.312,No Trade
0.373,0.292,0.334,No Trade
0.244,0.393,0.362,No Trade
0.437,0.292,0.271,No Trade
0.383,0.2,0.417,No Trade
0.431,0.126,0.443,No Trade
0.415,0.046,0.539,No Trade
0.285,0.32,0.396,No Trade
0.259,0.481,0.259,No Trade
0.218,0.444,0.338,No Trade
0.204,0.541,0.255,No Trade
0.365,0.33,0.306,No Trade
0.336,0.331,0.334,No Trade
0.24,0.46,0.3,No Trade
0.321,0.357,0.322,No Trade
0.27,0.359,0.371,No Trade
0.324,0.42,0.256,No Trade
0.424,0.143,0.433,No Trade
0.345,0.305,0.35,No Trade
0.357,0.204,0.439,No Trade
0.345,0.389,0.266,No Trade
0.314,0.416,0.27,No Trade
0.284,0.406,0.31,No Trade
0.252,0.495,0.253,No Trade
0.32,0.387,0.293,No Trade
0.237,0.459,0.304,No Trade
0.463,0.259,0.278,No Trade
0.291,0.352,0.356,No Trade
0.302,0.265,0.433,No Trade
0.366,0.321,0.313,No Trade
0.271,0.457,0.272,No Trade
0.257,0.367,0.376,No Trade
0.369,0.315,0.316,No Trade
0.351,0.378,0.271,No Trade
0.307,0.417,0.276,No Trade
0.237,0.525,0.237,No Trade
0.334,0.365,0.301,No Trade
0.361,0.278,0.361,No Trade
0.248,0.455,0.296,No Trade
0.448,0.377,0.175,No Trade
0.329,0.288,0.383,No Trade
0.404,0.287,0.309,No Trade
0.492,0.264,0.245,No Trade
0.301,0.284,0.415,No Trade
0.387,0.35,0.262,No Trade
0.318,0.307,0.375,No Trade
0.427,0.243,0.33,No Trade
0.336,0.345,0.318,No Trade
0.358,0.368,0.274,No Trade
0.292,0.416,0.292,No Trade
0.361,0.087,0.552,No Trade
0.275,0.347,0.379,No Trade
0.333,0.333,0.334,No Trade
0.272,0.261,0.467,No Trade
0.261,0.357,0.382,No Trade
0.36,0.298,0.342,No Trade
0.352,0.332,0.316,No Trade
0.417,0.202,0.381,No Trade
0.298,0.406,0.296,No Trade
0.348,0.256,0.396,No Trade
0.375,0.312,0.312,No Trade
0.362,0.271,0.367,No Trade
0.365,0.306,0.328,No Trade
0.275,0.422,0.304,No Trade
0.337,0.389,0.274,No Trade
0.29,0.305,0.405,No Trade
0.304,0.388,0.308,No Trade
0.281,0.397,0.323,No Trade
0.327,0.417,0.257,No Trade
0.401,0.213,0.385,No Trade
0.453,0.094,0.453,No Trade
0.368,0.234,0.398,No Trade
0.231,0.299,0.47,No Trade
0.477,0.243,0.28,No Trade
0.235,0.416,0.349,No Trade
0.263,0.408,0.329,No Trade
0.449,0.322,0.229,No Trade
0.299,0.333,0.367,No Trade
0.448,0.004,0.548,No Trade
0.252,0.504,0.243,No Trade
0.256,0.512,0.232,No Trade
0.269,0.412,0.319,No Trade
0.346,0.42,0.234,No Trade
0.204,0.398,0.399,No Trade
0.317,0.366,0.317,No Trade
0.458,0.084,0.458,No Trade
0.401,0.364,0.235,No Trade
0.412,0.231,0.358,No Trade
0.392,0.307,0.301,No Trade
0.314,0.31,0.376,No Trade
0.423,0.284,0.294,No Trade
0.319,0.27,0.412,No Trade
0.276,0.472,0.252,No Trade
0.447,0.29,0.262,No Trade
0.39,0.341,0.27,No Trade
0.394,0.392,0.214,No Trade
0.383,0.282,0.335,No Trade
0.306,0.244,0.449,No Trade
0.448,0.183,0.368,No Trade
0.271,0.508,0.221,No Trade
0.383,0.31,0.307,No Trade
0.262,0.475,0.263,No Trade
0.324,0.234,0.441,No Trade
0.407,0.333,0.26,No Trade
0.258,0.499,0.243,No Trade
0.302,0.493,0.205,No Trade
0.293,0.284,0.424,No Trade
0.252,0.373,0.375,No Trade
0.411,0.33,0.259,No Trade
0.352,0.46,0.188,No Trade
0.301,0.418,0.282,No Trade
0.382,0.289,0.329,No Trade
0.376,0.393,0.231,No Trade
0.376,0.243,0.381,No Trade
0.257,0.34,0.403,No Trade
0.389,0.343,0.268,No Trade
0.28,0.44,0.28,No Trade
0.29,0.415,0.295,No Trade
0.375,0.257,0.368,No Trade
0.373,0.241,0.386,No Trade
0.352,0.295,0.352,No Trade
0.263,0.511,0.226,No Trade
0.312,0.291,0.398,No Trade
0.369,0.326,0.305,No Trade
0.346,0.238,0.416,No Trade
0.358,0.312,0.33,No Trade
0.315,0.235,0.45,No Trade
0.286,0.445,0.269,No Trade
0.373,0.282,0.345,No Trade
0.305,0.293,0.401,No Trade
0.357,0.379,0.264,No Trade
0.346,0.302,0.353,No Trade
0.359,0.363,0.278,No Trade
0.31,0.284,0.407,No Trade
0.331,0.365,0.304,No Trade
0.292,0.441,0.267,No Trade
0.394,0.235,0.371,No Trade
0.45,0.306,0.244,No Trade
0.399,0.179,0.423,No Trade
0.437,0.159,0.404,No Trade
0.497,0.006,0.497,No Trade
0.342,0.381,0.277,No Trade
0.213,0.446,0.34,No Trade
0.286,0.384,0.33,No Trade
0.413,0.277,0.31,No Trade
0.359,0.443,0.198,No Trade
0.284,0.47,0.246,No Trade
0.276,0.4,0.324,No Trade
0.243,0.464,0.292,No Trade
0.231,0.519,0.251,No Trade
0.286,0.424,0.29,No Trade
0.347,0.364,0.289,No Trade
0.262,0.433,0.306,No Trade
0.232,0.512,0.256,No Trade
0.338,0.236,0.426,No Trade
0.305,0.482,0.212,No Trade
0.36,0.135,0.505,No Trade
0.352,0.32,0.328,No Trade
0.414,0.401,0.185,No Trade
0.264,0.471,0.264,No Trade
0.483,0.21,0.307,No Trade
0.257,0.373,0.37,No Trade
0.37,0.377,0.254,No Trade
0.44,0.289,0.27,No Trade
0.258,0.317,0.425,No Trade
0.377,0.182,0.441,No Trade
0.415,0.295,0.29,No Trade
0.308,0.376,0.316,No Trade
0.407,0.198,0.395,No Trade
0.323,0.324,0.353,No Trade
0.308,0.303,0.389,No Trade
0.48,0.059,0.461,No Trade
0.364,0.36,0.276,No Trade
0.337,0.389,0.275,No Trade
0.203,0.267,0.53,No Trade
0.342,0.312,0.346,No Trade
0.451,0.182,0.367,No Trade
0.314,0.275,0.411,No Trade
0.202,0.452,0.346,No Trade
0.56,0.074,0.366,No Trade
0.501,0.012,0.486,No Trade
0.374,0.176,0.45,No Trade
0.242,0.446,0.312,No Trade
0.336,0.383,0.281,No Trade
0.221,0.381,0.398,No Trade
0.534,0.152,0.314,No Trade
0.288,0.329,0.383,No Trade
0.343,0.314,0.343,No Trade
0.329,0.338,0.333,No Trade
0.349,0.233,0.418,No Trade
0.306,0.422,0.271,No Trade
0.462,0.297,0.241,No Trade
0.307,0.379,0.313,No Trade
0.43,0.312,0.258,No Trade
0.38,0.26,0.36,No Trade
0.422,0.337,0.241,No Trade
0.345,0.306,0.349,No Trade
0.365,0.235,0.4,No Trade
0.481,0.037,0.482,No Trade
0.342,0.361,0.297,No Trade
0.337,0.219,0.444,No Trade
0.364,0.354,0.283,No Trade
0.276,0.451,0.273,No Trade
0.288,0.531,0.182,No Trade
0.301,0.309,0.39,No Trade
0.286,0.377,0.337,No Trade
0.316,0.329,0.354,No Trade
0.248,0.291,0.461,No Trade
0.317,0.298,0.384,No Trade
0.271,0.291,0.438,No Trade
0.321,0.42,0.259,No Trade
0.352,0.439,0.208,No Trade
0.319,0.276,0.404,No Trade
0.32,0.211,0.47,No Trade
0.287,0.462,0.251,No Trade
0.385,0.247,0.368,No Trade
0.423,0.376,0.201,No Trade
0.288,0.407,0.305,No Trade
0.396,0.244,0.36,No Trade
0.474,0.187,0.339,No Trade
0.364,0.406,0.23,No Trade
0.309,0.468,0.223,No Trade
0.348,0.326,0.326,No Trade
0.289,0.502,0.208,No Trade
0.264,0.555,0.181,No Trade
0.309,0.317,0.373,No Trade
0.418,0.017,0.565,No Trade
0.347,0.347,0.307,No Trade
0.329,0.349,0.322,No Trade
0.458,0.248,0.294,No Trade
0.431,0.18,0.389,No Trade
0.423,0.116,0.461,No Trade
0.325,0.375,0.299,No Trade
0.478,0.022,0.5,No Trade
0.368,0.201,0.43,No Trade
0.404,0.192,0.404,No Trade
0.444,0.247,0.309,No Trade
0.398,0.355,0.246,No Trade
0.43,0.248,0.322,No Trade
0.415,0.213,0.373,No Trade
0.319,0.382,0.299,No Trade
0.297,0.283,0.42,No Trade
0.325,0.361,0.314,No Trade
0.366,0.402,0.232,No Trade
0.28,0.374,0.346,No Trade
0.312,0.385,0.303,No Trade
0.453,0.198,0.349,No Trade
0.255,0.264,0.48,No Trade
0.354,0.429,0.217,No Trade
0.319,0.3,0.381,No Trade
0.255,0.475,0.27,No Trade
0.307,0.449,0.244,No Trade
0.277,0.367,0.356,No Trade
0.413,0.317,0.27,No Trade
0.396,0.239,0.366,No Trade
0.375,0.346,0.279,No Trade
0.407,0.26,0.333,No Trade
0.313,0.396,0.291,No Trade
0.208,0.414,0.377,No Trade
0.307,0.459,0.233,No Trade
0.411,0.3,0.288,No Trade
0.423,0.1,0.477,No Trade
0.3,0.321,0.379,No Trade
0.258,0.484,0.258,No Trade
0.239,0.336,0.425,No Trade
0.273,0.472,0.255,No Trade
0.269,0.342,0.389,No Trade
0.402,0.287,0.311,No Trade
0.389,0.367,0.244,No Trade
0.248,0.342,0.409,No Trade
0.273,0.454,0.273,No Trade
0.278,0.406,0.316,No Trade
0.244,0.477,0.278,No Trade
0.356,0.352,0.292,No Trade
0.335,0.333,0.332,No Trade
0.251,0.525,0.224,No Trade
0.287,0.371,0.343,No Trade
0.48,0.148,0.372,No Trade
0.278,0.457,0.265,No Trade
0.34,0.319,0.341,No Trade
0.548,0.006,0.445,No Trade
0.251,0.396,0.354,No Trade
0.298,0.404,0.298,No Trade
0.379,0.415,0.206,No Trade
0.362,0.199,0.439,No Trade
0.252,0.557,0.191,No Trade
0.295,0.43,0.275,No Trade
0.288,0.481,0.231,No Trade
0.233,0.402,0.364,No Trade
0.272,0.496,0.232,No Trade
0.361,0.193,0.447,No Trade
0.28,0.443,0.277,No Trade
0.425,0.13,0.444,No Trade
0.397,0.271,0.332,No Trade
0.389,0.367,0.245,No Trade
0.397,0.172,0.431,No Trade
0.253,0.341,0.406,No Trade
0.421,0.13,0.449,No Trade
0.364,0.166,0.47,No Trade
0.301,0.364,0.335,No Trade
0.215,0.335,0.45,No Trade
0.244,0.514,0.242,No Trade
0.389,0.173,0.438,No Trade
0.365,0.358,0.277,No Trade
0.297,0.344,0.359,No Trade
0.278,0.306,0.416,No Trade
0.37,0.105,0.525,No Trade
0.32,0.451,0.229,No Trade
0.499,0.092,0.41,No Trade
0.221,0.557,0.222,No Trade
0.31,0.434,0.256,No Trade
0.323,0.414,0.262,No Trade
0.322,0.382,0.297,No Trade
0.302,0.277,0.421,No Trade
0.434,0.166,0.4,No Trade
0.313,0.391,0.297,No Trade
0.374,0.315,0.311,No Trade
0.257,0.247,0.496,No Trade
0.245,0.413,0.342,No Trade
0.388,0.313,0.299,No Trade
0.295,0.41,0.295,No Trade
0.486,0.303,0.211,No Trade
0.407,0.017,0.576,No Trade
0.467,0.13,0.402,No Trade
0.219,0.547,0.235,No Trade
0.356,0.254,0.391,No Trade
0.218,0.376,0.406,No Trade
0.368,0.353,0.279,No Trade
0.266,0.362,0.372,No Trade
0.513,0.088,0.398,No Trade
0.285,0.505,0.21,No Trade
0.25,0.412,0.338,No Trade
0.34,0.294,0.366,No Trade
0.451,0.229,0.32,No Trade
0.386,0.327,0.288,No Trade
0.451,0.244,0.304,No Trade
0.272,0.41,0.318,No Trade
0.272,0.331,0.397,No Trade
0.367,0.267,0.367,No Trade
0.465,0.07,0.465,No Trade
0.336,0.255,0.408,No Trade
0.317,0.326,0.357,No Trade
0.334,0.413,0.254,No Trade
0.404,0.194,0.402,No Trade
0.28,0.25,0.47,No Trade
0.37,0.114,0.515,No Trade
0.357,0.345,0.298,No Trade
0.405,0.223,0.372,No Trade
0.394,0.381,0.225,No Trade
0.286,0.41,0.304,No Trade
0.329,0.111,0.56,No Trade
0.338,0.392,0.27,No Trade
0.351,0.383,0.267,No Trade
0.366,0.232,0.402,No Trade
0.35,0.356,0.294,No Trade
0.294,0.409,0.297,No Trade
0.38,0.326,0.294,No Trade
0.444,0.305,0.252,No Trade
0.319,0.361,0.319,No Trade
0.314,0.438,0.248,No Trade
0.487,0.291,0.222,No Trade
0.318,0.433,0.249,No Trade
0.324,0.354,0.323,No Trade
0.319,0.364,0.317,No Trade
0.378,0.32,0.302,No Trade
0.253,0.493,0.254,No Trade
0.256,0.447,0.296,No Trade
0.322,0.329,0.349,No Trade
0.327,0.464,0.209,No Trade
0.364,0.32,0.316,No Trade
0.291,0.419,0.29,No Trade
0.246,0.467,0.287,No Trade
0.385,0.23,0.385,No Trade
0.254,0.379,0.366,No Trade
0.342,0.291,0.367,No Trade
0.311,0.281,0.408,No Trade
0.297,0.429,0.274,No Trade
0.424,0.248,0.329,No Trade
0.229,0.542,0.229,No Trade
0.294,0.29,0.415,No Trade
0.329,0.392,0.278,No Trade
0.328,0.339,0.332,No Trade
0.336,0.372,0.292,No Trade
0.303,0.333,0.364,No Trade
0.315,0.37,0.315,No Trade
0.24,0.52,0.24,No Trade
0.341,0.477,0.182,No Trade
0.372,0.41,0.218,No Trade
0.293,0.398,0.308,No Trade
0.292,0.415,0.292,No Trade
0.295,0.386,0.32,No Trade
0.307,0.308,0.385,No Trade
0.381,0.259,0.359,No Trade
0.328,0.275,0.397,No Trade
0.355,0.273,0.372,No Trade
0.463,0.053,0.484,No Trade
0.274,0.38,0.346,No Trade
0.292,0.522,0.186,No Trade
0.273,0.401,0.326,No Trade
0.225,0.421,0.354,No Trade
0.342,0.381,0.277,No Trade
0.379,0.272,0.35,No Trade
0.315,0.428,0.258,No Trade
0.301,0.278,0.421,No Trade
0.318,0.374,0.308,No Trade
0.33,0.291,0.379,No Trade
0.3,0.309,0.391,No Trade
0.362,0.416,0.222,No Trade
0.497,0.254,0.249,No Trade
0.295,0.39,0.315,No Trade
0.313,0.291,0.396,No Trade
0.253,0.442,0.305,No Trade
0.45,0.247,0.303,No Trade
0.279,0.354,0.367,No Trade
0.304,0.392,0.304,No Trade
0.209,0.52,0.271,No Trade
0.298,0.366,0.336,No Trade
0.329,0.35,0.321,No Trade
0.246,0.347,0.407,No Trade
0.305,0.336,0.359,No Trade
0.311,0.468,0.22,No Trade
0.26,0.409,0.331,No Trade
0.444,0.336,0.22,No Trade
0.556,0.012,0.432,No Trade
0.353,0.364,0.284,No Trade
0.253,0.317,0.43,No Trade
0.251,0.294,0.455,No Trade
0.418,0.416,0.166,No Trade
0.245,0.501,0.253,No Trade
0.361,0.331,0.307,No Trade
0.298,0.403,0.298,No Trade
0.271,0.382,0.347,No Trade
0.314,0.276,0.41,No Trade
0.292,0.417,0.292,No Trade
0.326,0.357,0.317,No Trade
0.29,0.486,0.224,No Trade
0.416,0.236,0.349,No Trade
0.344,0.262,0.394,No Trade
0.248,0.437,0.315,No Trade
0.333,0.386,0.28,No Trade
0.346,0.346,0.308,No Trade
0.229,0.551,0.22,No Trade
0.478,0.123,0.399,No Trade
0.391,0.225,0.385,No Trade
0.366,0.407,0.227,No Trade
0.305,0.317,0.378,No Trade
0.402,0.105,0.493,No Trade
0.239,0.277,0.483,No Trade
0.29,0.467,0.244,No Trade
0.314,0.317,0.37,No Trade
0.373,0.173,0.454,No Trade
